year,count,sum,mean,complete_pct
2018,1095,1092,0.9972602739726028,99.72602739726028
2019,1095,1095,1.0,100.0
2020,1098,1098,1.0,100.0
2021,1095,1095,1.0,100.0
2022,1095,1041,0.9506849315068493,95.06849315068493
2023,1095,1086,0.9917808219178083,99.17808219178083
2024,1098,1023,0.9316939890710383,93.16939890710383
