year,station,pm25_mean,pm10_mean,humidity_mean,temperature_mean,wind_speed_mean,pressure_mean,rainfall_total
2018,Palmerston,12.876712328767123,2.73972602739726,38.9041095890411,12.876712328767123,3.0136986301369864,1.643835616438356,1.36986301369863
2018,Stokes Hill,22.73972602739726,10.95890410958904,12.054794520547945,13.698630136986301,9.863013698630137,6.301369863013699,100.0
2018,Winnellie,18.08219178082192,9.315068493150685,2.73972602739726,2.73972602739726,2.73972602739726,2.73972602739726,2.73972602739726
2019,Palmerston,9.315068493150685,0.547945205479452,0.273972602739726,0.273972602739726,0.0,0.0,0.0
2019,Stokes Hill,8.493150684931507,0.547945205479452,0.0,0.0,0.0,0.0,100.0
2019,Winnellie,12.32876712328767,4.657534246575342,1.643835616438356,1.643835616438356,1.643835616438356,1.643835616438356,1.643835616438356
2020,Palmerston,13.114754098360656,4.371584699453552,1.092896174863388,0.819672131147541,0.0,0.0,0.0
2020,Stokes Hill,13.387978142076504,1.912568306010929,3.0054644808743167,3.278688524590164,0.546448087431694,0.546448087431694,100.0
2020,Winnellie,10.92896174863388,2.459016393442623,0.546448087431694,0.546448087431694,0.546448087431694,0.546448087431694,0.546448087431694
2021,Palmerston,17.26027397260274,14.520547945205479,7.671232876712329,5.47945205479452,4.931506849315069,0.821917808219178,0.821917808219178
2021,Stokes Hill,28.21917808219178,17.80821917808219,13.698630136986301,13.698630136986301,15.890410958904111,13.698630136986301,100.0
2021,Winnellie,29.863013698630137,27.671232876712327,13.424657534246576,13.424657534246576,13.424657534246576,13.424657534246576,13.424657534246576
2022,Palmerston,21.643835616438356,17.534246575342465,11.232876712328768,6.8493150684931505,8.21917808219178,4.657534246575342,18.08219178082192
2022,Stokes Hill,13.972602739726028,5.205479452054795,3.5616438356164384,3.5616438356164384,7.123287671232877,3.5616438356164384,100.0
2022,Winnellie,7.9452054794520555,7.397260273972603,48.21917808219178,48.21917808219178,48.21917808219178,48.21917808219178,48.21917808219178
2023,Palmerston,6.575342465753424,4.383561643835616,0.0,0.0,0.0,0.0,0.0
2023,Stokes Hill,10.136986301369863,10.95890410958904,2.4657534246575343,2.4657534246575343,0.0,2.4657534246575343,100.0
2023,Winnellie,21.643835616438356,21.36986301369863,4.10958904109589,4.10958904109589,4.10958904109589,4.10958904109589,4.10958904109589
2024,Palmerston,20.76502732240437,17.48633879781421,1.912568306010929,1.912568306010929,1.912568306010929,1.912568306010929,1.912568306010929
2024,Stokes Hill,4.098360655737705,4.098360655737705,2.459016393442623,2.185792349726776,2.185792349726776,2.185792349726776,100.0
2024,Winnellie,20.491803278688526,18.579234972677597,12.295081967213115,12.295081967213115,12.295081967213115,12.295081967213115,13.934426229508196
