wind_sector,mean,median,count
N,9.221230567514269,7.67409090909091,601
NE,9.942439206617852,8.489166666666668,597
E,12.554724585195407,10.0225,1172
SE,14.473847186823185,12.244155701754387,858
S,10.044634510933045,8.750416666666666,369
SW,8.809798127424349,5.698333333333334,410
W,6.874896287392789,4.873333333333334,1063
NW,7.134461017462815,6.042083333333333,901
