station,date,pm25_mean,pm25_max,pm25_valid_hours,hours_pm25_ge_25,pm10_mean,pm10_max,humidity_mean,temperature_mean,wind_speed_mean,pressure_mean,rainfall_total,wind_dir_sin_mean,wind_dir_cos_mean,year,month
Palmerston,2018-01-01,2.7490476190476194,5.6,21,,9.495833333333334,15.98,,32.05708333333333,1.8608333333333331,1003.6008333333334,0.0,0.07411125558414995,-0.13335952869134485,2018,1
Palmerston,2018-01-02,3.453181818181818,6.69,22,,10.68,20.22,,32.33416666666667,2.103333333333333,1004.6654166666667,4.4,-0.12726274313255,-0.1503031862274203,2018,1
Palmerston,2018-01-03,3.194761904761905,6.51,21,,10.327826086956522,18.95,,31.8,1.3399999999999999,1004.0508333333333,0.0,-0.6741605030813361,0.7357614648479537,2018,1
Palmerston,2018-01-04,,,17,,8.58375,17.73,,,,1004.82375,10.100000000000001,,,2018,1
Palmerston,2018-01-05,2.406315789473684,9.98,19,,9.38391304347826,24.29,,32.73230769230769,3.322307692307692,1004.6141666666667,5.3,-0.22247486291772445,-0.433891619638473,2018,1
Palmerston,2018-01-06,,,11,,6.490526315789474,11.76,,30.405652173913044,2.2265217391304346,1004.4239130434783,2.9000000000000004,-0.14993755286128269,0.5185398708830723,2018,1
Palmerston,2018-01-07,1.1677777777777778,3.41,18,,7.72375,11.42,,29.01125,2.065,1006.07,45.7,-0.2319913250414288,0.7489842288469712,2018,1
Palmerston,2018-01-08,1.9480952380952379,4.43,21,,9.667083333333332,16.4,,30.89,2.366875,1009.1975000000001,14.000000000000002,-0.17552429480758477,0.7250506381263966,2018,1
Palmerston,2018-01-09,,,17,,9.025454545454545,17.47,,31.087083333333336,1.4766666666666666,1007.3325,0.8999999999999999,0.38649257442379265,0.2791505157585039,2018,1
Palmerston,2018-01-10,,,16,,8.46125,13.55,,30.187916666666666,1.8091666666666668,998.04625,3.6,0.2738862060298423,0.11497051061543784,2018,1
Palmerston,2018-01-11,,,15,,9.29304347826087,25.97,,31.125833333333333,1.6829166666666666,998.8391666666666,2.9000000000000004,-0.040108800871491934,0.5115009761496642,2018,1
Palmerston,2018-01-12,,,16,,7.596666666666667,13.95,,30.344583333333333,1.5004166666666665,1000.5070833333333,1.4,-0.29451698715945246,0.6420020199164825,2018,1
Palmerston,2018-01-13,1.6694444444444445,5.35,18,,7.98695652173913,25.93,,31.06625,2.1283333333333334,1006.6204166666666,8.1,-0.033433879174636985,-0.2700252640947328,2018,1
Palmerston,2018-01-14,2.2494736842105265,5.49,19,,9.75695652173913,27.08,,32.27916666666667,1.8445833333333335,1004.81,3.9,0.13071741852149246,-0.4557993169774563,2018,1
Palmerston,2018-01-15,,,15,,10.118695652173912,22.57,,31.171666666666667,1.765,1004.11375,3.3000000000000003,0.05059030076928348,-0.10182424808754169,2018,1
Palmerston,2018-01-16,2.687777777777778,4.22,18,,13.290476190476191,36.38,,31.872083333333332,1.9220833333333334,1002.3575000000001,5.4,-0.05196322616334718,-0.294602403534859,2018,1
Palmerston,2018-01-17,,,17,,10.500869565217391,24.35,,31.08583333333333,1.6708333333333334,1002.4470833333334,1.0,0.18512166845825662,-0.07394784197128028,2018,1
Palmerston,2018-01-18,1.8990909090909092,5.77,22,,8.764166666666666,17.87,,29.972916666666666,1.3525,1003.7695833333333,27.0,0.33266269419738786,0.3824520958159687,2018,1
