station,date,pm25_mean,pm25_max,pm25_valid_hours,hours_pm25_ge_25,pm10_mean,pm10_max,humidity_mean,temperature_mean,wind_speed_mean,pressure_mean,rainfall_total,wind_dir_sin_mean,wind_dir_cos_mean,year,month,fire_count_0_25km,fire_count_25_50km,fire_count_50_100km,fire_count_100_200km,fire_count_200_500km,frp_sum_0_25km,frp_sum_25_50km,frp_sum_50_100km,frp_sum_100_200km,frp_sum_200_500km,frp_mean_0_25km,frp_mean_25_50km,frp_mean_50_100km,frp_mean_100_200km,frp_mean_200_500km,frp_max_0_25km,frp_max_25_50km,frp_max_50_100km,frp_max_100_200km,frp_max_200_500km,fire_count_0_500km,frp_sum_0_500km,frp_mean_0_500km,frp_max_0_500km,nearest_fire_km,firms_local_day_complete,fire_day,humidity_hours,temperature_hours,wind_speed_hours,pressure_hours,wind_direction_hours,month_sin,month_cos,pm25_lag1,pm25_3day_mean,target_date,target_pm25_next_day,target_hours_ge_25_next_day,target_pm25_over_25_next_day,target_year
Palmerston,2018-01-13,1.6694444444444445,5.35,18,,7.98695652173913,25.93,,31.06625,2.1283333333333334,1006.6204166666666,8.1,-0.033433879174636985,-0.2700252640947328,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,,,2018-01-14,2.2494736842105265,,0,2018.0
Palmerston,2018-01-14,2.2494736842105265,5.49,19,,9.75695652173913,27.08,,32.27916666666667,1.8445833333333335,1004.81,3.9,0.13071741852149246,-0.4557993169774563,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,1.6694444444444445,,2018-01-15,,,,2018.0
Palmerston,2018-01-15,,,15,,10.118695652173912,22.57,,31.171666666666667,1.765,1004.11375,3.3000000000000003,0.05059030076928348,-0.10182424808754169,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,2.2494736842105265,,2018-01-16,2.687777777777778,,0,2018.0
Palmerston,2018-01-16,2.687777777777778,4.22,18,,13.290476190476191,36.38,,31.872083333333332,1.9220833333333334,1002.3575000000001,5.4,-0.05196322616334718,-0.294602403534859,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,,,2018-01-17,,,,2018.0
Palmerston,2018-01-17,,,17,,10.500869565217391,24.35,,31.08583333333333,1.6708333333333334,1002.4470833333334,1.0,0.18512166845825662,-0.07394784197128028,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,2.687777777777778,,2018-01-18,1.8990909090909092,,0,2018.0
Palmerston,2018-01-18,1.8990909090909092,5.77,22,,8.764166666666666,17.87,,29.972916666666666,1.3525,1003.7695833333333,27.0,0.33266269419738786,0.3824520958159687,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,,,2018-01-19,,,,2018.0
Palmerston,2018-01-19,,,17,,9.350416666666666,20.06,,29.354583333333334,1.51,1001.1341666666667,20.099999999999998,0.25169838610252576,0.2586594252139538,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,1.8990909090909092,,2018-01-20,2.221904761904762,,0,2018.0
Palmerston,2018-01-20,2.221904761904762,5.52,21,,8.9625,22.07,,29.993750000000002,2.120833333333333,998.2866666666667,0.4,-0.09166555864573596,0.007424484595563677,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,,,2018-01-21,1.6561904761904762,,0,2018.0
Palmerston,2018-01-21,1.6561904761904762,4.83,21,,9.13125,26.11,,30.739166666666666,3.00625,995.2783333333333,19.4,-0.348564837284006,-0.4097508237365009,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,2.221904761904762,,2018-01-22,,,,2018.0
Palmerston,2018-01-22,,,16,,9.959545454545456,17.49,,29.859166666666667,3.7608333333333337,996.13875,36.0,-0.25166042427748664,-0.7899597861387847,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,1.6561904761904762,,2018-01-23,1.9985,,0,2018.0
